,Name,Address,Description,Longitude,Latitude,TimeStamp,TimeSpan:begin,TimeSpan:end,GettyID
273,Sidón,Sidón,b.GEN.010.019,35.372948,33.5570691,273,,,
274,Gerar,Gerar,b.GEN.010.019,34.64041,31.37603,274,,,
275,Gaza,Gaza,b.GEN.010.019,34.3088255,31.354676300000005,275,,,
276,,,b.GEN.010.019,,,276,,,
277,,,b.GEN.010.019,,,277,,,
278,,,b.GEN.010.019,,,278,,,
279,,,b.GEN.010.019,,,279,,,
280,,,b.GEN.010.019,,,280,,,
281,,,b.GEN.010.020,,,281,,,
282,,,b.GEN.010.021,,,282,,,
283,,,b.GEN.010.022,,,283,,,
284,,,b.GEN.010.023,,,284,,,
285,,,b.GEN.010.024,,,285,,,
286,tierra,tierra,b.GEN.010.025,0.0,-90.0,286,,,
287,,,b.GEN.010.026,,,287,,,
288,,,b.GEN.010.027,,,288,,,
289,,,b.GEN.010.028,,,289,,,
290,,,b.GEN.010.029,,,290,,,
291,tierra,tierra,b.GEN.010.030,0.0,-90.0,291,,,
292,,,b.GEN.010.030,,,292,,,
293,,,b.GEN.010.030,,,293,,,
294,,,b.GEN.010.031,,,294,,,
295,tierra,tierra,b.GEN.010.032,0.0,-90.0,295,,,
296,tierra,tierra,b.GEN.011.001,0.0,-90.0,296,,,
297,,,b.GEN.011.002,,,297,,,
298,,,b.GEN.011.002,,,298,,,
299,,,b.GEN.011.003,,,299,,,
300,tierra,tierra,b.GEN.011.004,0.0,-90.0,300,,,
301,,,b.GEN.011.004,,,301,,,
302,,,b.GEN.011.005,,,302,,,
303,,,b.GEN.011.006,,,303,,,
304,,,b.GEN.011.007,,,304,,,
305,tierra,tierra,b.GEN.011.008,0.0,-90.0,305,,,
306,,,b.GEN.011.008,,,306,,,
307,tierra,tierra,b.GEN.011.009,0.0,-90.0,307,,,
308,,,b.GEN.011.009,,,308,,,
309,,,b.GEN.011.010,,,309,,,
310,,,b.GEN.011.011,,,310,,,
311,,,b.GEN.011.012,,,311,,,
312,,,b.GEN.011.013,,,312,,,
313,,,b.GEN.011.014,,,313,,,
314,,,b.GEN.011.015,,,314,,,
315,,,b.GEN.011.016,,,315,,,
316,,,b.GEN.011.017,,,316,,,
317,,,b.GEN.011.018,,,317,,,
318,,,b.GEN.011.019,,,318,,,
319,,,b.GEN.011.020,,,319,,,
320,,,b.GEN.011.021,,,320,,,
321,,,b.GEN.011.022,,,321,,,
322,,,b.GEN.011.023,,,322,,,
323,,,b.GEN.011.024,,,323,,,
324,,,b.GEN.011.025,,,324,,,
325,,,b.GEN.011.026,,,325,,,
326,,,b.GEN.011.027,,,326,,,
327,Ur,Ur,b.GEN.011.028,46.10444,30.96222,327,,,
328,,,b.GEN.011.029,,,328,,,
329,,,b.GEN.011.030,,,329,,,
330,Canaán,Canaán,b.GEN.011.031,35.289528,32.055556,330,,,
331,Ur,Ur,b.GEN.011.031,46.10444,30.96222,331,,,
332,,,b.GEN.011.031,,,332,,,
333,,,b.GEN.011.032,,,333,,,
334,Canaán,Canaán,b.GEN.012.001,35.289528,32.055556,334,,,
335,,,b.GEN.012.001,,,335,,,
336,,,b.GEN.012.002,,,336,,,
337,tierra,tierra,b.GEN.012.003,0.0,-90.0,337,,,
338,,,b.GEN.012.004,,,338,,,
339,Canaán,Canaán,b.GEN.012.005,35.289528,32.055556,339,,,
340,,,b.GEN.012.005,,,340,,,
341,Canaán,Canaán,b.GEN.012.006,35.289528,32.055556,341,,,
342,,,b.GEN.012.006,,,342,,,
343,,,b.GEN.012.006,,,343,,,
344,Canaán,Canaán,b.GEN.012.007,35.289528,32.055556,344,,,
345,,,b.GEN.012.008,,,345,,,
346,Bet-el,Bet-el,b.GEN.012.008,35.222734,31.9416,346,,,
347,,,b.GEN.012.008,,,347,,,
348,Neguev,Neguev,b.GEN.012.009,34.875747600000004,30.714086100000003,348,,,
349,tierra,tierra,b.GEN.012.010,0.0,-90.0,349,,,
350,Egipto,Egipto,b.GEN.012.010,30.802497999999996,26.820553000000004,350,,,
351,Egipto,Egipto,b.GEN.012.011,30.802497999999996,26.820553000000004,351,,,
352,,,b.GEN.012.012,,,352,,,
353,,,b.GEN.012.013,,,353,,,
354,Egipto,Egipto,b.GEN.012.014,30.802497999999996,26.820553000000004,354,,,
355,,,b.GEN.012.015,,,355,,,
356,,,b.GEN.012.016,,,356,,,
357,,,b.GEN.012.017,,,357,,,
358,,,b.GEN.012.018,,,358,,,
359,,,b.GEN.012.019,,,359,,,
360,,,b.GEN.012.020,,,360,,,
