	weight	source	target
2009	2	#per135	#pla110
2248	2	#per149	#pla84
306	2	#per124	#per126
713	2	#per159	#per4
449	2	#429	#per175
2212	2	#per264	#per320
249	2	#per152	#per230
1038	2	#pla118	#pla119
2347	2	#per262	#pla117
2213	2	#per219	#per222
29	2	#per153	#per250
2246	2	#org92	#pla5
2214	2	#per273	#per275
330	2	#per244	#per258
452	2	#per138	#per156
1051	2	#per172	#per174
968	2	#per146	#per149
1194	2	#per366	#pla113
2256	2	#per134	#pla107
1154	2	#per135	#pla136
2333	2	#429	#per218
231	2	#per182	#per3
2369	2	#org4	#per156
255	2	#per242	#per428
1147	2	#per162	#per242
1148	2	#pla115	#pla84
2368	2	#org80	#per14
2336	2	#per139	#pla108
2722	2	#per160	#per433
1150	2	#per205	#per433
1954	2	#per160	#per205
2230	2	#per366	#pla17
402	2	#per14	#pla78
2705	2	#per260	#pla97
428	2	#per277	#per293
2329	2	#per153	#pla115
2103	2	#per264	#per333
1102	2	#per180	#per202
1103	2	#per264	#per428
1074	2	#per136	#per16
1105	2	#per262	#per395
2304	2	#per174	#per203
390	2	#424	#per380
2156	2	#per185	#per193
391	2	#per162	#per330
2095	2	#429	#per380
2305	2	#per333	#per428
2092	2	#per140	#per380
1951	2	#per14	#per385
1076	2	#pla102	#pla120
394	2	#per242	#per320
2159	2	#org41	#per120
356	2	#per260	#pla124
275	2	#per158	#per420
1107	2	#per203	#per229
296	2	#per360	#pla103
353	2	#per14	#per173
997	2	#org4	#org83
2166	2	#per152	#per217
271	2	#389	#per175
2167	2	#per150	#pla108
1114	2	#pla79	#pla97
1086	2	#per	#per334
308	2	#per128	#pla15
317	2	#org91	#per4
2226	2	#429	#per321
2231	2	#org49	#org88
2232	2	#per170	#pla16
1949	2	#389	#per387
477	2	#per180	#per232
1184	2	#per182	#per226
314	2	#per212	#per242
1175	2	#per	#per293
36	2	#per366	#pla120
2349	2	#per175	#per334
315	2	#per104	#pla108
2350	2	#per218	#per380
1192	2	#per230	#pla5
1948	2	#per153	#pla134
2352	2	#per172	#per180
327	2	#per285	#pla119
2242	2	#per	#per175
1166	2	#424	#per140
307	2	#per140	#per293
468	2	#per3	#pla134
1190	2	#per131	#per174
1046	2	#per235	#pla5
1188	2	#per131	#per248
960	2	#pla111	#pla116
1970	2	#org0	#org88
1045	2	#org42	#per121
1968	2	#per315	#per420
2676	2	#org63	#org83
2592	2	#per182	#per244
1393	2	#per3	#per354
2593	2	#per230	#per72
506	2	#per4	#pla
912	2	#per226	#per244
1255	2	#per140	#per277
1802	2	#per360	#pla113
1853	2	#per5	#pla145
547	2	#per109	#per126
938	2	#per281	#pla148
518	2	#org78	#per159
1897	2	#per148	#pla78
1214	2	#per131	#per157
1901	2	#org64	#per148
1212	2	#per	#per321
941	2	#per293	#per380
509	2	#per162	#per320
504	2	#per104	#per157
1867	2	#per175	#per218
1206	2	#442	#per175
500	2	#org13	#per150
948	2	#per4	#pla4
2378	2	#per366	#pla102
495	2	#per329	#pla113
2386	2	#per185	#per186
1458	2	#pla103	#pla113
1223	2	#per285	#pla118
2388	2	#per395	#pla102
546	2	#per190	#per206
545	2	#per149	#per213
1861	2	#per433	#pla84
543	2	#org89	#per4
564	2	#per142	#per145
1819	2	#per152	#per235
1816	2	#per131	#per226
1261	2	#per148	#pla84
915	2	#per232	#per254
1834	2	#per136	#per182
555	2	#per177	#pere314
1837	2	#per162	#pla84
1838	2	#per293	#per387
1839	2	#org22	#per4
1841	2	#per128	#per14
1843	2	#per233	#per314
2644	2	#per158	#pla84
54	2	#per128	#pla84
1247	2	#per131	#per259
1246	2	#429	#per140
1850	2	#per104	#per135
56	2	#org85	#per267
548	2	#per2	#per345
1827	2	#per183	#per194
1256	2	#pla134	#pla135
1803	2	#per191	#pla118
201	2	#org65	#per2
2420	2	#org83	#per171
1806	2	#org13	#org63
908	2	#org93	#per72
1263	2	#per145	#per20
2419	2	#per262	#pla124
567	2	#org86	#pla101
202	2	#per218	#per277
876	2	#org40	#per109
1866	2	#per285	#per395
1235	2	#per132	#per156
1831	2	#424	#per175
1791	2	#per395	#pla121
2443	2	#per137	#pla9
1309	2	#org88	#per126
1724	2	#per16	#per204
2444	2	#per134	#per146
623	2	#per156	#per159
1300	2	#per212	#per428
188	2	#per137	#per156
1765	2	#per109	#pla5
1783	2	#per252	#per259
1797	2	#per4	#pla9
1270	2	#org93	#per104
1794	2	#per253	#per315
630	2	#per2	#per431
197	2	#per320	#per333
2652	2	#pla102	#pla113
2427	2	#org0	#per16
1714	2	#per333	#per351
1786	2	#per162	#per177
2633	2	#per141	#per4
592	2	#per147	#per5
2430	2	#pla147	#pla84
622	2	#per172	#per433
2434	2	#per146	#per236
1284	2	#per199	#per200
1773	2	#per162	#per233
1770	2	#429	#per
186	2	#org4	#pla84
155	2	#per140	#per321
69	2	#389	#424
883	2	#per235	#per72
1737	2	#per134	#pla101
2446	2	#per185	#per6
1233	2	#pla121	#pla17
536	2	#per158	#per324
2654	2	#per205	#per259
2390	2	#per324	#per420
49	2	#org88	#per122
530	2	#389	#429
2389	2	#per14	#pla9
1225	2	#per248	#per258
200	2	#per262	#pla118
204	2	#per160	#per214
1643	2	#per191	#pla97
2445	2	#org50	#per128
72	2	#per195	#per267
2437	2	#429	#per293
1759	2	#442	#per321
2628	2	#per137	#per170
1292	2	#org0	#per131
1753	2	#per128	#pla5
2447	2	#per160	#per203
1752	2	#per162	#per212
1293	2	#per232	#per252
605	2	#per182	#per248
2435	2	#per252	#per254
1267	2	#per47	#pla84
1741	2	#org0	#pla146
1301	2	#per174	#per229
190	2	#per137	#pla116
2403	2	#424	#per218
1754	2	#org94	#pla84
1317	2	#per14	#per201
1337	2	#per109	#per127
2250	2	#per217	#pla5
2603	2	#389	#442
1350	2	#org94	#per251
1649	2	#442	#per380
166	2	#per175	#per293
1651	2	#per260	#pla118
167	2	#per320	#per428
1349	2	#per140	#per334
1655	2	#per264	#per351
2479	2	#pla	#pla84
2477	2	#per180	#pla84
667	2	#per149	#per4
2606	2	#442	#per387
1706	2	#per158	#per253
127	2	#per202	#per252
1389	2	#per195	#pla5
1577	2	#per395	#pla103
125	2	#per360	#pla102
2572	2	#per212	#per320
767	2	#per14	#per169
1502	2	#per160	#per229
817	2	#per217	#per72
764	2	#per245	#pla146
1429	2	#per253	#per420
1509	2	#per162	#per351
760	2	#per162	#per264
1511	2	#org88	#org94
2542	2	#424	#per387
2602	2	#org0	#per72
676	2	#per205	#pla84
1338	2	#per131	#per258
1672	2	#per253	#per324
90	2	#per2	#per250
1323	2	#per16	#pla1
1380	2	#per218	#per387
708	2	#424	#429
2500	2	#per4	#pla41
1378	2	#442	#per
89	2	#per146	#per4
1602	2	#per226	#per258
1388	2	#per190	#per440
1634	2	#per329	#pla16
