	Source	Target	Weight	Type
13440	#pla22	#pla732	1	Undirected
13439	#org195	#org48	1	Undirected
13438	#org43	#per315	1	Undirected
13414	#per815	#per831	1	Undirected
13413	#org37	#per722	1	Undirected
13412	#per460	#per710	1	Undirected
13411	#per110	#per34	1	Undirected
13410	#per140	#per678	1	Undirected
13409	#org22	#per333	1	Undirected
13408	#org147	#org51	1	Undirected
13415	#org0	#per890	1	Undirected
13407	#org109	#per193	1	Undirected
13404	#per512	#per944	1	Undirected
13403	#pla20	#pla736	1	Undirected
13402	#pla21	#pla281	1	Undirected
13399	#per253	#per351	1	Undirected
13398	#per207	#per959	1	Undirected
13397	#org145	#org16	1	Undirected
13396	#pla152	#pla403	1	Undirected
13405	#per575	#per692	1	Undirected
13485	#per149	#per18	1	Undirected
13416	#per39	#per782	1	Undirected
13418	#org108	#per161	1	Undirected
13437	#org132	#per320	1	Undirected
13436	#per420	#per655	1	Undirected
13435	#org217	#org88	1	Undirected
13434	#per314	#per454	1	Undirected
13433	#pla149	#pla302	1	Undirected
13432	#org168	#per18	1	Undirected
13431	#per410	#per979	1	Undirected
13417	#pla5	#pla79	1	Undirected
13430	#pla155	#pla41	1	Undirected
13427	#pla146	#pla148	1	Undirected
13426	#org49	#per655	1	Undirected
13424	#per106	#per128	1	Undirected
13423	#per127	#pla12	1	Undirected
13422	#org146	#org44	1	Undirected
13421	#org88	#per929	1	Undirected
13419	#org140	#org25	1	Undirected
13429	#per204	#pla316	1	Undirected
13488	#per124	#per420	1	Undirected
13489	#org131	#per354	1	Undirected
13490	#org192	#per522	1	Undirected
13557	#org130	#org65	1	Undirected
13556	#org100	#per483	1	Undirected
13555	#per140	#per34	1	Undirected
13554	#org19	#per462	1	Undirected
13553	#per132	#per465	1	Undirected
13552	#org88	#pla6	1	Undirected
13551	#per268	#per782	1	Undirected
13558	#org65	#per18	1	Undirected
13550	#per3	#per693	1	Undirected
13548	#per482	#per662	1	Undirected
13547	#org131	#per611	1	Undirected
13546	#pla214	#pla3	1	Undirected
13545	#pla101	#pla142	1	Undirected
13543	#per496	#per672	1	Undirected
13542	#per92	#per95	1	Undirected
13539	#org3	#org86	1	Undirected
13549	#per132	#per907	1	Undirected
13537	#per333	#per5	1	Undirected
13559	#org101	#per483	1	Undirected
13562	#org147	#per162	1	Undirected
13580	#per35	#per748	1	Undirected
13579	#pla133	#pla22	1	Undirected
13578	#org18	#per233	1	Undirected
13577	#org13	#org183	1	Undirected
13575	#org158	#per657	1	Undirected
13574	#per20	#pla3	1	Undirected
13573	#org118	#org44	1	Undirected
13560	#org147	#per144	1	Undirected
13572	#org185	#org55	1	Undirected
13569	#org0	#per731	1	Undirected
13568	#per204	#pla1	1	Undirected
13567	#per169	#per94	1	Undirected
13566	#per465	#per466	1	Undirected
13565	#org53	#org79	1	Undirected
13564	#per670	#per709	1	Undirected
13563	#per159	#per404	1	Undirected
13571	#per121	#per4	1	Undirected
13395	#per159	#per185	1	Undirected
13536	#per481	#per84	1	Undirected
13534	#per181	#per672	1	Undirected
13509	#pla62	#pla731	1	Undirected
13506	#org91	#per264	1	Undirected
13505	#per109	#per610	1	Undirected
