id	label	timeset	normalizedname-sp	aclaration	variants	comments	book	cert	gender	normalizedname-ge	normalizedname-po	type	nature	definition	importance	order-edition	degree	weighted degree	eccentricity	closnesscentrality	harmonicclosnesscentrality	betweenesscentrality	modularity_class	indegree	outdegree	weighted indegree	weighted outdegree	componentnumber
"#per76"	#per76		Salatiel				AT		male	Schealtiël	Salatiel	person	human	defined		MAT	7	26.0	1.0	1.0	1.0	0.0	2	6	1	21.0	5.0	1
"#per77"	#per77		Zorobabel				AT		male	Serubbabel	Zorobabel	person	human	defined		MAT	10	147.0	0.0	0.0	0.0	0.0	2	10	0	147.0	0.0	1
"#per88"	#per88		Aminadab				AT		male	Amminadab	Aminadabe	person	human	defined		MAT	5	5.0	0.0	0.0	0.0	0.0	0	5	0	5.0	0.0	1
"#per104"	#per104		José	jefe de tribu			AT		male	Josef	José	person	human	defined	1	JOH	7	10.0	4.0	0.436241610738255	0.4794871794871793	3.083333333333333	0	3	4	5.0	5.0	1
"#per109"	#per109		Rubén	jefe de tribu			NT		male	Ruben	Ruben	person	human	defined	1	JOH	9	9.0	4.0	0.3813953488372093	0.4359756097560973	44.166666666666664	0	1	8	1.0	8.0	1
"#per120"	#per120		Gad	jefe de tribu			AT		male	Gad		person	human	defined	1	REV	3	3.0	5.0	0.29842931937172773	0.33830409356725133	0.0	1	0	3	0.0	3.0	1
"#per121"	#per121		Aser	jefe de tribu			AT		male	Aser		person	human	defined	1	REV	3	3.0	5.0	0.29473684210526313	0.32648809523809513	0.0	1	1	2	1.0	2.0	1
"#per122"	#per122		Neftalí	jefe de tribu			AT		male	Naftali		person	human	defined	1	REV	3	3.0	5.0	0.291005291005291	0.31424242424242416	0.0	1	2	1	2.0	1.0	1
"#per124"	#per124		Simeón	jefe de tribu			AT		male	Simeon		person	human	defined	1	REV	11	11.0	4.0	0.3574660633484163	0.42088607594936683	85.99999999999999	0	2	9	2.0	9.0	1
"#per125"	#per125		Leví	jefe de tribu			AT		male	Levi		person	human	defined	1	REV	16	30.0	3.0	0.4863013698630137	0.5422535211267606	404.2007936507936	3	5	11	12.0	18.0	1
"#per131"	#per131		Esaú		Edom	Es correcto la variación de Edom??	AT		male	Esau	Esaú	person	human	defined		GEN	5	8.0	4.0	0.4166666666666667	0.45641025641025623	1.0	2	2	3	3.0	5.0	1
"#per155"	#per155		Jemuel				AT		male			person	human	defined		GEN	8	8.0	1.0	1.0	1.0	0.0	0	2	6	2.0	6.0	1
"#per181"	#per181		Dan				AT		male			person	human	defined	1	GEN	9	16.0	4.0	0.40298507462686567	0.4475308641975309	162.0	2	6	3	8.0	8.0	1
"#per215"	#per215		Gersón				AT		male			person	human	defined		GEN	5	5.0	7.0	0.28378378378378377	0.3438775510204081	37.0	3	2	3	2.0	3.0	1
"#per266"	#per266		Hezrón				AT		male			person	human	defined		GEN	6	6.0	6.0	0.32575757575757575	0.38449612403100786	0.0	0	2	4	2.0	4.0	1
"#per272"	#per272		Moab				AT		male			person	human	defined	1	GEN	6	6.0	0.0	0.0	0.0	0.0	0	6	0	6.0	0.0	1
"#per305"	#per305		Carmi				AT		male			person	human	defined		GEN	6	6.0	6.0	0.32061068702290074	0.36984126984126997	0.0	0	3	3	3.0	3.0	1
"#per317"	#per317		Ohad				AT		male			person	human	defined		GEN	8	8.0	1.0	1.0	1.0	0.0	0	3	5	3.0	5.0	1
"#per341"	#per341		Jamín				AT		male			person	human	defined		GEN	8	8.0	1.0	1.0	1.0	0.0	0	4	4	4.0	4.0	1
"#per342"	#per342		Jaquín				AT		male			person	human	defined		GEN	8	8.0	1.0	1.0	1.0	0.0	0	5	3	5.0	3.0	1
"#per349"	#per349		Merari				AT		male			person	human	defined		GEN	6	7.0	7.0	0.2777777777777778	0.33607142857142847	3.0	3	3	3	4.0	3.0	1
"#per423"	#per423		Falú				AT		male			person	human	defined		GEN	6	6.0	1.0	1.0	1.0	0.0	0	5	1	5.0	1.0	1
"#per426"	#per426		Coat				AT		male			person	human	defined		GEN	7	7.0	6.0	0.3557692307692308	0.4153153153153155	87.38095238095237	3	4	3	4.0	3.0	1
"#per441"	#per441		Saúl	hijo de Simeón			AT		male			person	human	defined		GEN	8	8.0	1.0	1.0	1.0	0.0	0	6	2	6.0	2.0	1
"#per447"	#per447		Zohar	hijo de Simeón			AT		male			person	human	defined		GEN	8	8.0	1.0	1.0	1.0	0.0	0	7	1	7.0	1.0	1
"#per448"	#per448		Hanoc	hijo de Rubén			AT		male			person	human	defined		GEN	6	6.0	0.0	0.0	0.0	0.0	0	6	0	6.0	0.0	1
"#per495"	#per495		faraón	en tiempos de Moisés			AT		male			person	human	defined		ACT	10	34.0	1.0	1.0	1.0	54.444444444444436	0	4	6	15.0	19.0	1
"#per496"	#per496		Amram	padre de Moisés			AT		male			person	human	defined	1	ACT	18	22.0	5.0	0.5	0.5912037037037037	820.7412698412699	0	9	9	12.0	10.0	1
"#per497"	#per497		hija del faraón				AT		male			person	human	defined		ACT	6	18.0	1.0	1.0	1.0	1.738888888888889	0	4	2	13.0	5.0	1
"#per499"	#per499		Gersón	hijo de Moisés			AT		male			person	human	defined	1	ACT	6	22.0	2.0	0.8	0.875	0.4444444444444444	2	3	3	10.0	12.0	1
"#per500"	#per500		Aarón	hermano de Moisés			AT		male			person	human	defined	1	ACT	35	463.0	4.0	0.7058823529411765	0.8368055555555555	533.7400793650794	2	18	17	401.0	62.0	1
"#per503"	#per503		Josué				AT		male			person	human	defined	1	ACT	7	20.0	4.0	0.46153846153846156	0.5972222222222222	10.000000000000002	2	5	2	18.0	2.0	1
"#per573"	#per573		Malaquías				AT		male			person	human	defined	1	MAL	26	163.0	0.0	0.0	0.0	0.0	2	26	0	163.0	0.0	1
"#per574"	#per574		Hageo	profeta			AT		male			person	human	defined	1	HAG	10	146.0	1.0	1.0	1.0	2.9166666666666665	2	5	5	73.0	73.0	1
"#per575"	#per575		Josué				AT		male			person	human	defined		HAG	10	139.0	1.0	1.0	1.0	2.9166666666666665	2	6	4	98.0	41.0	1
"#per576"	#per576		Josadac				AT		male			person	human	defined		HAG	7	28.0	1.0	1.0	1.0	0.25	2	4	3	18.0	10.0	1
"#per577"	#per577		Darío	rey de Persia			AT		male			person	human	defined	1	HAG	6	8.0	1.0	1.0	1.0	0.0	2	4	2	6.0	2.0	1
"#per578"	#per578		rey	tras José			AT		male			person	human	defined		EXO	7	23.0	1.0	1.0	1.0	1.5	0	5	2	15.0	8.0	1
"#per579"	#per579		Sifra	parteras hebreas			AT		female			person	human	defined		EXO	6	24.0	1.0	1.0	1.0	0.0	0	5	1	17.0	7.0	1
"#per580"	#per580		Fúa	parteras hebreas			AT		female			person	human	defined		EXO	6	24.0	0.0	0.0	0.0	0.0	0	6	0	24.0	0.0	1
"#per581"	#per581		hermana de Moisés				AT		female			person	human	defined		EXO	4	8.0	1.0	1.0	1.0	0.0	0	3	1	6.0	2.0	1
"#per582"	#per582		Jocabed	madre de Moisés			AT		female			person	human	defined		EXO	8	17.0	0.0	0.0	0.0	0.0	0	8	0	17.0	0.0	1
"#per583"	#per583		Reuel	suegro de Moisés, sacerdote de Madián	Jetro		AT		male			person	human	defined		EXO	13	66.0	1.0	1.0	1.0	15.91666666666667	2	10	3	59.0	7.0	1
"#per584"	#per584		Séfora	mujer de Moisés			AT		female			person	human	defined		EXO	5	20.0	1.0	1.0	1.0	0.0	2	4	1	17.0	3.0	1
"#per585"	#per585		faraón	segundo faraón durante Moisés			AT		male			person	human	defined		EXO	16	409.0	1.0	1.0	1.0	3.416666666666667	2	15	1	408.0	1.0	1
"#per586"	#per586		mujer de Simeón	canaea			AT		female			person	human	defined		EXO	8	8.0	0.0	0.0	0.0	0.0	0	8	0	8.0	0.0	1
"#per588"	#per588		Simei	hijo de Gerson, nieto de Levi			AT		male			person	human	defined		EXO	1	1.0	0.0	0.0	0.0	0.0	3	1	0	1.0	0.0	1
"#per589"	#per589		Hebrón				AT		male			person	human	defined		EXO	3	3.0	2.0	0.5714285714285714	0.625	0.0	0	2	1	2.0	1.0	1
"#per590"	#per590		Uziel				AT		male			person	human	defined		EXO	6	6.0	1.0	1.0	1.0	207.0	0	3	3	3.0	3.0	1
"#per591"	#per591		Mahli				AT		male			person	human	defined		EXO	3	3.0	1.0	1.0	1.0	0.0	3	2	1	2.0	1.0	1
"#per592"	#per592		Musi				AT		male			person	human	defined		EXO	3	3.0	0.0	0.0	0.0	0.0	3	3	0	3.0	0.0	1
"#per593"	#per593		Coré				AT		male			person	human	defined		EXO	7	7.0	1.0	1.0	1.0	206.0	0	2	5	2.0	5.0	1
"#per594"	#per594		Nefeg				AT		male			person	human	defined		EXO	3	3.0	1.0	1.0	1.0	0.0	0	2	1	2.0	1.0	1
"#per595"	#per595		Zicri				AT		male			person	human	defined		EXO	3	3.0	0.0	0.0	0.0	0.0	0	3	0	3.0	0.0	1
"#per596"	#per596		Misael				AT		male			person	human	defined		EXO	3	3.0	1.0	1.0	1.0	0.0	0	1	2	1.0	2.0	1
"#per597"	#per597		Elzafán				AT		male			person	human	defined		EXO	3	3.0	1.0	1.0	1.0	0.0	0	2	1	2.0	1.0	1
"#per598"	#per598		Sitri				AT		male			person	human	defined		EXO	3	3.0	0.0	0.0	0.0	0.0	0	3	0	3.0	0.0	1
"#per599"	#per599		Elisabet	mujer de Aarón			AT		female			person	human	defined		EXO	7	7.0	2.0	0.7142857142857143	0.8	0.0	3	1	6	1.0	6.0	1
"#per600"	#per600		Aminadab	madre de Elisabet, suegra de Aarón			AT		female			person	human	defined		EXO	7	7.0	2.0	0.6923076923076923	0.7777777777777778	0.0	3	2	5	2.0	5.0	1
"#per601"	#per601		Naasón				AT		male			person	human	defined		EXO	7	7.0	2.0	0.6666666666666666	0.75	0.0	3	3	4	3.0	4.0	1
"#per602"	#per602		Nadab	hijo de Aarón			AT		male			person	human	defined		EXO	11	15.0	2.0	0.6363636363636364	0.7142857142857143	0.0	3	8	3	9.0	6.0	1
"#per603"	#per603		Abiú	hijo de Aarón			AT		male			person	human	defined		EXO	12	22.0	2.0	0.6	0.6666666666666666	0.4	3	10	2	18.0	4.0	1
"#per604"	#per604		Eleazar	hijo de Aarón			AT		male			person	human	defined		EXO	15	20.0	2.0	0.8333333333333334	0.9	76.98214285714286	3	11	4	15.0	5.0	1
"#per605"	#per605		Itamar	hijo de Aarón			AT		male			person	human	defined		EXO	13	19.0	1.0	1.0	1.0	9.250000000000002	3	12	1	18.0	1.0	1
"#per606"	#per606		Asir				AT		male			person	human	defined		EXO	4	4.0	1.0	1.0	1.0	0.0	0	2	2	2.0	2.0	1
"#per607"	#per607		Elcana				AT		male			person	human	defined		EXO	4	4.0	1.0	1.0	1.0	0.0	0	3	1	3.0	1.0	1
"#per608"	#per608		Abiasaf				AT		male			person	human	defined		EXO	4	4.0	0.0	0.0	0.0	0.0	0	4	0	4.0	0.0	1
"#per609"	#per609		Futiel				AT		male			person	human	defined		EXO	5	5.0	1.0	1.0	1.0	0.0	3	3	2	3.0	2.0	1
