	weight	source	target
1594	2	#org37	#per10
2188	2	#org2	#org4
2159	2	#per14	#pla174
1857	2	#per504	#pla190
1845	2	#org22	#per39
1848	2	#org88	#per3
1926	2	#org22	#per50
28	2	#pla24	#pla3
196	2	#org25	#per1
363	2	#pla214	#pla3
1886	2	#per504	#pla209
190	2	#per504	#pla211
1629	2	#pla171	#pla33
1841	2	#org29	#per0
29	2	#per566	#pla213
1885	2	#per2	#per21
1190	2	#org118	#pla191
1903	2	#org0	#per512
1881	2	#org24	#org37
1753	2	#org16	#org8
1969	2	#org25	#org37
1761	2	#per10	#per14
95	2	#per48	#per482
1727	2	#per489	#pla4
326	2	#pla2	#pla7
254	2	#org25	#org5
325	2	#org22	#per486
1958	2	#per553	#pla3
1796	2	#org18	#per480
251	2	#org13	#per512
1701	2	#per504	#pla8
315	2	#org16	#pla4
314	2	#per14	#per560
2053	2	#org119	#per19
128	2	#per10	#per21
311	2	#per14	#tim2
375	2	#org118	#org37
310	2	#per112	#per482
2051	2	#per14	#per3
1979	2	#per20	#per21
132	2	#org13	#org22
91	2	#per19	#per28
1837	2	#pla171	#pla182
2009	2	#org25	#org29
360	2	#org15	#per25
2148	2	#org8	#pla3
1882	2	#org70	#per18
2151	2	#per14	#per50
1613	2	#org13	#pla171
404	2	#per1	#per101
391	2	#per21	#per510
1060	2	#org65	#per26
910	2	#per112	#per17
1065	2	#org24	#pla152
896	2	#pla173	#pla178
424	2	#org8	#pla171
890	2	#pla200	#pla209
613	2	#org4	#per566
1545	2	#org16	#pla2
1546	2	#org29	#pla174
1548	2	#org24	#per48
444	2	#org0	#per483
888	2	#per1	#pla171
1550	2	#per21	#tim2
1551	2	#per483	#pla41
1276	2	#org3	#org4
884	2	#per28	#pla24
599	2	#per564	#pla80
866	2	#org118	#org70
620	2	#per489	#pla78
906	2	#org18	#per564
902	2	#org29	#per558
846	2	#per14	#per20
476	2	#org13	#per527
440	2	#org100	#org24
588	2	#per104	#per133
923	2	#org70	#per19
437	2	#org118	#org122
922	2	#per21	#pla15
1255	2	#org18	#org37
1261	2	#pla171	#pla191
1528	2	#per17	#per48
912	2	#org24	#pla30
868	2	#org22	#pla41
594	2	#org25	#per21
891	2	#per26	#pla176
425	2	#org37	#pla22
1547	2	#org14	#org37
826	2	#org14	#per526
1068	2	#per20	#per504
1324	2	#org12	#per482
1504	2	#org29	#per133
803	2	#per546	#pla63
1502	2	#org110	#per526
958	2	#per14	#per528
806	2	#per21	#per485
1319	2	#per17	#per484
1249	2	#org70	#per2
