	GEN	EXO	LEV	NUM	DEU	JOS	JDG	RUT	1SA	2SA	1KI	2KI	EZR	NEH	EST	JOB	PSA	PRO	ECC	ISA	JER	LAM	EZE	DAN	HOS	JOE	AMO	OBA	JON	MIC	NAH	HAB	ZEP	HAG	ZEC	MAL	MAT	MAR	JOH	ACT	ROM	1CO	2CO	GAL	EPH	PHI	COL	1TH	2TH	1TI	2TI	TIT	PHM	HEB	JAM	1PE	2PE	1JO	2JO	3JO	JUD	REV
#per178																																																														
#per179																																																														
#per180	32.05556,35.28953																																																													
#per181						31.91315,34.79275	32.14327,35.25045																				31.84088,35.05025																																			
#per182																																																														
#per183																																																														
#per184																																																														
#per185	32.05556,35.28953																																																													
#per186	32.05556,35.28953			32.05556,35.28953																																																										
#per187																																																														
#per188																																																														
#per189	29.43805,33.04601																																																													
#per190																																																														
#per191	29.65478,50.80403																																																													
#per192																																																														
#per193	32.05556,35.28953			32.05556,35.28953																																																										
#per194																																																														
#per195	29.43805,33.04601																																																													
#per196	26.82055,30.8025																																																													
#per197	32.05556,35.28953																																																													
#per198																																																														
#per199																																																														
#per200																																																														
#per201																																																														
#per202	39.75172,26.15879																																																													
#per203																																																														
#per204	31.82349,35.21259																																																													
#per205	32.05556,35.28953																																																													
#per206																																																														
#per207																																																														
#per208	30.18517,35.31659																																																													
#per209																																																														
#per210																																																														
#per211	32.05556,35.28953																																																													
#per212																																																														
#per213	31.535,35.09861																																																													
#per214	32.05556,35.28953																																																													
#per215																																																														
#per216	32.05556,35.28953																																																													
#per217	26.82055,30.8025																																																													
#per218																																																														
#per219	30.18517,35.31659																																																													
#per220																																																														
#per221																																																														
#per222	30.18517,35.31659																																																													
#per223																																																														
#per224																																																														
#per225																																																														
#per226																																																														
#per227	31.31746,34.71909																																																													
#per228																																																														
#per229																																																														
#per230	26.82055,30.8025																																																													
#per231	35.2765,42.6289																			33.34217,39.78296																																										
#per232																																																														
#per233																																																														
#per234																																																														
#per235	26.82055,30.8025																																																													
#per236																																																														
#per237																																																														
#per238																																																														
#per239																																																														
#per240																																																														
#per241																																																														
#per242																																																														
#per243																																																														
#per244																																																														
#per245																																																														
#per246																																																														
#per247									31.88514,35.21642																																																					
#per248																																																														
#per249																																																														
#per250																																																														
#per251																																																														
#per252																																																														
#per253																																																														
#per254																																																														
#per255																																																														
#per256																																																														
#per257																														36.09917,43.3275																																
#per258																																																														
#per259																																																														
#per260	29.65478,50.80403																																																													
#per261																																																														
#per262	29.65478,50.80403																																																													
#per263																																																														
#per264																																																														
#per265																																																														
#per266	32.05556,35.28953																																																													
#per267	26.82055,30.8025																																																													
#per268																																																														
#per269																																																														
#per270																																																														
#per271	35.2765,42.6289																																																													
#per272		31.3681,35.19714						29.26297,33.00247															30.18517,35.31659							32.1725,35.5219			31.04605,34.85161																													
#per273																																																														
#per274	39.75172,26.15879																																																													
#per275																																																														
#per276																																																														
#per277																																																														
#per278																																																														
#per279					28.9333,32.82706																																																									
#per280																																																														
#per281	31.32036,35.76397																																																													
#per282																																																														
#per283																																																														
#per284																																																														
#per285	29.65478,50.80403																																																													
#per286	32.05556,35.28953																																																													
#per287																																																														
#per288																																																														
#per289																																																														
#per290																																																														
#per291																																																														
#per292																																																														
#per293																																																														
#per294																																																														
#per295																																																														
#per296																																																														
#per297																																																														
#per298																																																														
#per299																																																														
#per300																																																														
#per301																																																														
#per302																																																														
#per303																																																														
#per304																																																														
#per305																																																														
#per306																																																														
#per307																																																														
#per308																																																														
#per309																																																														
#per310																																																														
#per311																																																														
#per312																																																														
#per313																																																														
#per314																																																														
#per315																																																														
#per316																																																														
#per317																																																														
#per318																																																														
#per319																																																														
#per320																																																														
#per321																																																														
#per322																																																														
#per323																																																														
#per324																																																														
#per325																																																														
#per326																																																														
#per327																																																														
#per328																																																														
#per329	30.33413,43.13764																																																													
#per330																																																														
#per331																																																														
#per332																																																														
#per333																																																														
#per334																																																														
#per335																																																														
#per336																																																														
#per337																																																														
#per338																																																														
#per339	26.82055,30.8025																																																													
#per340																																																														
#per341																																																														
#per342																																																														
#per343																																																														
#per344																																																														
#per345																																																														
#per346																																																														
#per347																																																														
#per348																																																														
#per349																																																														
#per350																																																														
#per351																																																														
#per352																																																														
#per353																																																														
#per354																																																														
#per355																																																														
#per356																																																														
#per357											31.69972,34.84694																																																			
#per358																																																														
#per359																																																														
#per360	30.33413,43.13764																																																													
#per361																																																														
#per362																																																														
#per363																																																														
#per364																																																														
#per365																																																														
#per366	30.33413,43.13764																																																													
#per367																																																														
#per368																																																														
#per369																																																														
#per370																																																														
#per371																																																														
#per372																																																														
#per373																																																														
#per374																																																														
#per375																																																														
#per376																																																														
#per377																																																														
#per378																																																														
#per379																																																														
#per380																																																														
#per381				32.10744,35.86859	32.10744,35.86859	32.51774,35.88899																																																								
#per382																																																														
#per383																																																														
#per384																																																														
#per385	31.37603,34.64041																																																													
#per386																																																														
#per387																																																														
#per388																																																														
#per389																																																														
#per390				26.82055,30.8025	30.67715,37.14312																																																									
#per391																																																														
#per392																																																														
#per393																																																														
#per394																																																														
#per395	30.33413,43.13764																																																													
#per396																																																														
#per397	31.9416,35.22273																																																													
#per398																																																														
#per399																																																														
#per400																																																														
#per401																																																														
#per402																																																														
#per403																																																														
#per404																																																														
#per405																																																														
#per406																																																														
#per407																																																														
#per408																																																														
#per409																																																														
#per410																																																														
#per411																																																														
#per412																																																														
#per413																																																														
#per414																																																														
#per415																																																														
#per416																																																														
#per417											30.58516,36.23841																																																			
#per418																																																														
#per419	32.05556,35.28953			33.01667,35.56694																																																										
#per420																																																														
#per421																																																														
#per422																																																														
#per423																																																														
#per424																																																														
#per425																																																														
#per426																																																														
#per427																																																														
#per428																																																														
#per429																																																														
#per430																																																														
#per431																																																														
#per432																																																														
#per433	32.05556,35.28953																																																													
#per434																																																														
#per435																																																														
#per436																																																														
#per437																																																														
#per438																																																														
#per439																																																														
#per440																																																														
#per441																																																														
#per442																																																														
#per443																																																														
#per444																																																														
#per445	39.75172,26.15879																																																													
#per446																																																														
#per447																																																														
#per448																																																														
#per449																																																														
#per450																																																														
#per451																																																														
#per452																																																														
#per453																																																														
#per454																																																														
#per455																																																														
#per456																																																														
#per457																																																														
#per458																																																														
#per459																																																														
#per460	32.05556,35.28953																																																													
#per461	31.01347,35.47124																																																													
#per462								29.85733,33.61885																																																						
#per463								29.85733,33.61885																																																						
#per464								29.26297,33.00247																																																						
#per465								29.26297,33.00247																																																						
#per466								29.26297,33.00247																																																						
#per467								31.70538,35.20244																																																						
#per468																																																														
#per469								29.26297,33.00247																																																						
#per470												32.29919,35.59233																																																		
#per471																													36.22957,42.23624																																	
#per472																																																														
#per473																	30.64245,35.80956					31.72609,35.20356																																								
#per474																	30.42865,33.93447																																													
#per475																				34.55313,18.04801																																										
#per476																																																														
#per477																																																														
#per478																																																														
#per479																																																														
#per480																																																														
#per481									31.61059,34.92262																																																					
#per482																																								37.94842,27.36806																						
#per483																																								35.08493,32.67637				31.76832,35.21371																		
#per484																																																														
#per485																																																														
#per486																																																														
#per487																																																														
#per488																																																														
#per489																																								31.83099,35.47031																						
#per490																																								36.1968,36.16123																						
#per491																																								36.1968,36.16123																						
#per492																																								36.1968,36.16123																						
#per493																																								36.1968,36.16123																						
#per494																																								36.1968,36.16123																						
#per495		27.69998,33.28448																																						26.82055,30.8025																						
#per496				26.82055,30.8025																																																										
#per497																																																														
#per498																																																														
#per499		28.60685,32.93417				32.81192,35.51565	31.04605,34.85161																																																							
