	GEN	EXO	LEV	NUM	DEU	JOS	JDG	RUT	1SA	2SA	1KI	2KI	EZR	NEH	EST	JOB	PSA	PRO	ECC	ISA	JER	LAM	EZE	DAN	HOS	JOE	AMO	OBA	JON	MIC	NAH	HAB	ZEP	HAG	ZEC	MAL	MAT	MAR	JOH	ACT	ROM	1CO	2CO	GAL	EPH	PHI	COL	1TH	2TH	1TI	2TI	TIT	PHM	HEB	JAM	1PE	2PE	1JO	2JO	3JO	JUD	REV
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
#org0	31.21104,34.74601	27.94048,34.69124	30.35109,33.75776	29.58746,36.28119	31.24694,31.98409	31.49735,35.48626	30.94523,35.16442		31.43705,34.64269	31.86109,35.17468	31.5427,34.64271	33.0073,37.30075	31.98525,38.81861	30.94496,34.33811	26.20369,44.3209		30.04609,35.89303	26.82055,30.8025	31.76832,35.21371	31.25899,35.61257	31.80929,36.54102	32.47749,35.41644	31.93507,35.63422	29.87643,37.09419	31.93584,35.49202	31.04605,34.85161	30.4957,33.88454	31.22616,35.16668		31.92816,36.29602	36.22957,42.23624	33.52069,35.74073	30.70048,35.36792	32.11636,35.23539	32.47614,34.66806	30.86335,34.97818	32.41325,35.43236	32.25744,35.37368	32.31937,35.3766	36.3353,29.45264	31.40886,35.04011		33.18667,35.61917	29.5,34.0	31.04605,34.85161									29.92327,33.61922		31.77167,35.22861						32.54178,44.43164
#org1																																																														
#org2																								31.40718,35.03266													33.72819,37.68971	31.76832,35.21371	32.20637,35.31812																							
#org3																																					32.1787,35.27246	32.3138,35.34923	32.25567,35.349	32.72397,35.18564				28.25785,39.64643																		
#org4	31.49321,38.02199	32.05556,35.28953		30.62903,32.62			30.89497,34.38768		28.9333,32.82706	31.83577,35.20862	32.64706,35.74388	32.0129,35.19412									31.76832,35.21371		31.94318,35.22828	29.3848,34.96738	31.9416,35.22273		31.04605,34.85161								32.03628,36.75805	33.18667,35.61917	30.23035,33.74737	32.82443,35.588		31.05929,34.66555																						35.60934,34.32265
#org5																																					32.63987,36.38779	32.00035,35.22816		31.37526,34.92112																						
#org6																																					31.04605,34.85161	32.47239,35.46323		31.76832,35.21371																						32.54178,44.43164
#org7																																								33.18667,35.61917																						
#org8					26.82055,30.8025		28.9333,32.82706		31.68112,35.12129		32.48713,35.86645	31.83121,35.60645	32.00035,35.22816	33.2569,37.91492							31.38421,35.91784	33.18667,35.61917	31.04605,34.85161	31.04605,34.85161	31.5508,35.07057										31.88969,35.23621		31.36269,34.67814		32.76203,35.44577	32.41688,32.95142																						
#org9																																																														
#org10																																					31.79231,35.20656																									
#org11																																							32.39177,35.38842																							
#org12			32.09609,35.25344		28.9333,32.82706	31.16411,35.51726			31.92255,35.27059		32.02665,35.23732	32.40915,36.09203	32.19415,40.76084	32.80068,36.84311			32.11636,35.23539			36.09917,43.3275	31.30201,35.90079	32.15747,35.31626	32.11636,35.23539		32.05045,35.2055	33.18667,35.61917	31.76999,35.22116								31.67878,35.14006	32.00035,35.22816	32.00035,35.22816	32.00035,35.22816	32.20637,35.31812	31.49056,34.77162																						
#org13	31.29053,34.97511							29.85733,33.61885					31.92273,39.32088	32.42288,35.30272			31.77167,35.22861				30.75679,35.39825								31.04605,34.85161		33.22279,36.82981					32.00035,35.22816	31.04605,34.85161		32.34764,35.38279	34.12379,30.18458								36.27164,29.07398														31.04605,34.85161
#org14		28.32173,34.98759							31.99158,35.1093	32.37992,36.06642	31.04605,34.85161	31.97606,35.22201								26.82055,30.8025	32.04619,38.40569		31.40718,35.03266	32.54178,44.43164									31.83577,35.20862							34.85837,31.29088																						
#org15										31.76832,35.21371																											32.72431,36.06145	32.82443,35.588	32.4745,35.4354	33.82968,34.58678																						
#org16		26.82055,30.8025	28.9333,32.82706	28.9333,32.82706	29.48392,33.96417	30.73417,34.26192	31.64155,35.12399				32.11636,35.23539	31.04605,34.85161	31.66827,35.11489	31.04605,34.85161			28.9333,32.82706			32.11829,35.40912	31.97606,35.22201	31.04605,34.85161	30.7054,34.12175		31.5508,35.07057	31.76999,35.22116		31.76832,35.21371									32.30782,35.62436	31.76832,35.21371		33.06741,35.86691	31.04605,34.85161																					31.76832,35.21371
#org17														32.42288,35.30272						32.42288,35.30272			32.10598,35.2468		32.42288,35.30272															32.0956,35.25822																						
#org18					30.61561,35.0841		31.04605,34.85161					31.76832,35.21371					32.11019,35.28905			33.83425,33.63984			31.74575,35.12268	31.76832,35.21371	31.66827,35.11489		29.50411,32.96567								31.90322,35.20354	30.27303,34.42581	31.93524,35.2198			31.70765,32.66823	34.08156,31.75353	37.93864,22.93224	35.56265,29.2757					41.60864,21.74528						41.87194,12.56738								
#org19					31.04605,34.85161	32.31978,35.54376	31.04605,34.85161					31.04605,34.85161					31.76832,35.21371	26.82055,30.8025	33.18667,35.61917	32.02726,38.29132	31.76832,35.21371		30.86335,34.97818		31.90798,35.32811	31.47463,35.02758	31.04605,34.85161					33.52069,35.74073						33.18667,35.61917		40.64006,22.94442																						
#org20																																																														
#org21							31.68076,35.05817			31.65044,35.15677	32.42288,35.30272									33.27049,35.20376			31.74575,35.12268		33.06692,37.82288																																					
#org22	31.38441,31.36417	29.5,34.0		29.43805,33.04601	29.1222,33.21804	31.02222,34.81201	31.06432,34.51156	31.37572,35.02703	31.04605,34.85161	31.80189,35.02324	32.00799,35.58953	30.7054,34.12175	32.11636,35.23539	28.5615,36.87355			31.04605,34.85161				30.89722,34.42572		33.71072,34.44015		31.5508,35.07057										32.27993,35.56407		31.04605,34.85161			33.12345,35.17665		20.28023,38.51257																				31.04605,34.85161
#org23																																																														
#org24				26.82055,30.8025	27.67997,35.2337	31.9231,33.42681	31.38398,35.51173		31.82318,35.27673	32.93528,36.61228	31.8977,35.18654	31.96482,36.42401		31.80182,35.44513	24.20632,43.00978		27.65563,36.04391			30.32848,37.55052	33.19582,35.8587	31.76832,35.21371	31.66672,33.09187				31.23723,34.22032	31.17615,34.98036		31.52868,35.09798	36.09917,43.3275				31.83577,35.20862		31.76832,35.21371			35.6612,28.21204			33.51381,36.27653																			
#org25		29.46903,33.52301	31.04605,34.85161	31.94521,35.41794	30.37707,35.03001	32.02844,33.9504	31.91141,35.29713	29.85733,33.61885	31.92949,35.18282	31.49395,35.05166	30.87928,36.48711	32.36457,37.15416	32.46383,39.83245	31.97606,35.22201			31.04605,34.85161	31.04605,34.85161		31.76999,35.22116	31.29118,35.90725	31.76999,35.22116	30.81056,35.81977	31.40718,35.03266	31.05626,34.41694	32.11636,35.23539				31.52868,35.09798							32.00035,35.22816	32.47749,35.41644		33.06152,34.145																						
#org26																																																														
#org27																																							30.58516,36.23841	33.34554,35.71375																						
#org28																																																														
#org29																																						33.18667,35.61917		30.61756,36.99837																						
#org30																																													37.94842,27.36806																	38.75182,30.74732
#org31																																																														38.98948,30.6347
#org32																																																														35.30063,34.48909
#org33																																																														39.55522,34.12658
#org34																																																														39.0217,31.08339
#org35																																																														39.55522,34.12658
#org36																																															35.54071,35.79527															37.54796,34.96092
#org37																																								35.42698,30.85925		39.55522,34.12658		31.90322,35.20354		41.60864,21.74528		36.27164,29.07398								36.0485,39.27911						
#org38																																																														31.04605,34.85161
#org39	32.05556,35.28953			32.05556,35.28953	30.58516,36.23841	31.95208,33.51911	31.6616,35.1693	26.82055,30.8025	31.47463,35.02758	31.56287,35.53681	31.91958,35.26939	32.13525,36.52941	32.26962,39.88683	31.60799,35.10672	27.60028,42.58056		32.37414,35.2758			32.98782,37.86868	31.88905,36.16961	32.47749,35.41644	31.46168,35.21823		31.86568,35.29588	30.44376,34.23522		31.90322,35.20354					31.90903,35.23559		33.08783,32.39363									31.04605,34.85161										31.47463,35.02758								
#org40				30.80741,34.95207	32.08521,35.8391	31.93317,35.56062	32.18282,35.58717																31.40718,35.03266																																							
#org41				30.92449,35.0087	32.08521,35.8391	31.93317,35.56062																																																								
#org42					31.04605,34.85161	32.51761,35.40498																																																								
#org43						32.56144,35.43112	32.38745,35.22833					33.05442,36.61869					32.57496,35.29153																																													
#org44				32.32612,35.64716	32.21564,35.71633	32.09056,35.48531											32.00533,35.53606																		31.17615,34.98036																											
#org45					30.58516,36.23841	31.53332,35.12339	31.90322,35.20354																																																							
#org46			31.04605,34.85161	32.05556,35.28953	30.81561,35.54501	31.9204,35.45787	31.87929,35.19333		28.9333,32.82706	31.76832,35.21371			32.10724,39.84313	30.58121,36.50055									31.93881,35.21059																																							
#org47					30.58516,36.23841	32.51761,35.40498					31.04605,34.85161																																																			
#org48						31.93436,35.42191	32.38745,35.22833										32.57496,35.29153																																													
#org49	31.38441,31.36417				31.61806,35.68303	31.01428,34.78573	31.9416,35.22273																34.26802,38.14674				31.9416,35.22273																																			
#org50				31.22313,35.85009	30.58516,36.23841	31.64862,35.34103	31.91182,35.21676		31.55088,35.07057	31.33937,35.3811	31.41851,35.33444		32.47749,35.41644	31.69891,35.33949	32.19579,48.25428						31.77906,35.18931																									31.04605,34.85161																
#org51																							31.40718,35.03266																																							
#org52																																																														
#org53	31.31746,34.71909	29.74766,33.21359				30.32804,33.76767	32.17599,35.24932		31.54297,34.93036	31.66538,35.19666	31.3426,35.61064	31.51067,34.43775					31.97557,35.15425			31.71917,34.89764	32.46223,34.86305		33.46708,30.63215				31.35812,34.31234	31.81795,35.3003					32.05556,35.28953																													
#org54		29.43805,33.04601		31.95079,29.72072		31.23549,34.98569	31.77906,35.18931			31.76832,35.21371			31.04605,34.85161	31.04605,34.85161																					31.77889,34.84992																											
#org55	34.43751,34.43751	29.43805,33.04601		31.49196,31.80615	31.51977,33.55544	31.34789,35.01987	30.80967,35.23965		31.50822,34.84949				31.04605,34.85161	31.04605,34.85161													28.16028,32.40125																																			
#org56														31.04605,34.85161																																																
#org57		29.43805,33.04601				31.55162,33.90077	33.3447,35.8213			31.84045,35.07407	31.04605,34.85161																																																			
#org58																																																														
#org59																																																														
#org60																							33.41378,35.28836																																							
#org61																																																														
#org62																																																														
#org63	32.57459,35.73573	29.85225,33.73226	32.05556,35.28953	29.59831,32.9949	32.44859,34.38986	31.52031,33.85099	32.0222,35.01409			31.84045,35.07407	26.82055,30.8025		31.04605,34.85161	31.04605,34.85161						32.80631,35.33124			31.04605,34.85161					31.17615,34.98036					32.05556,35.28953																													
#org64	31.50889,40.69698											31.33562,35.89051		30.96222,46.10444						34.32047,43.87957	32.0507,36.28323		32.70217,38.6228	32.54178,44.43164																30.96222,46.10444																						
#org65	30.47614,33.75864	27.16409,34.65115		26.82055,30.8025	26.82055,30.8025	25.5336,34.43836	31.04605,34.85161		30.12098,33.93335			31.04605,34.85161	31.04605,34.85161	23.55039,34.65754			18.7486,36.60158			26.97649,36.93998	32.49631,33.1807		31.32613,37.94465												26.82055,30.8025																			20.28023,38.51257								
#org66	32.05556,35.28953	29.43805,33.04601				31.79907,33.68965	31.47463,35.02758				31.04605,34.85161		31.04605,34.85161	31.04605,34.85161																																																
#org67	32.05556,35.28953					32.49179,35.59946																																																								
#org68																																																														
#org69	34.43751,34.43751			29.59831,32.9949			30.98335,35.4932		30.11262,33.9906	33.23437,36.78174																																																				
#org70	32.05556,35.28953	30.48741,34.05852	30.52177,34.11256	30.82589,34.30602	31.3818,35.84954	31.25946,34.65037	31.83867,35.28904		31.58467,35.0734	31.6532,34.07529	31.94762,35.57885	32.34164,36.4119	32.34036,38.90281	30.60166,36.51014			30.27148,33.59029			31.39052,36.06638	32.13753,35.28659	31.72609,35.20356	32.04135,34.93381	30.35165,34.02411	31.97194,35.24845	31.81529,33.39071	31.80519,35.05744	31.44067,35.07464		31.94058,36.40535	33.22279,36.82981		31.62231,35.12437	30.73912,34.1192	32.00553,33.4223	31.23634,34.95785		31.24419,35.72098		31.55214,34.54633	31.40886,35.04011		32.11636,35.23539	25.62986,41.33137		31.04605,34.85161								29.92327,33.61922							26.82055,30.8025	
#org71	30.18517,35.31659				30.18517,35.31659															31.90322,35.20354																																										
#org72	32.05556,35.28953			36.09917,43.3275			31.30865,35.03964		30.23291,34.16763											31.90322,35.20354																																										
#org73	32.05556,35.28953																																																													
#org74	32.05556,35.28953	29.43805,33.04601		31.95079,29.72072		32.09189,34.35686	31.04605,34.85161				31.55644,35.00597	31.04605,34.85161	31.04605,34.85161	31.04605,34.85161																																																
#org75	32.05556,35.28953			31.39985,35.23574	30.32105,34.54963	30.53691,34.03408	30.38782,34.06117			31.47463,35.02758	32.02718,35.5432	31.90322,35.20354																																																		
#org76	32.05556,35.28953					31.22313,35.85009																																																								
#org77	32.05556,35.28953					32.52449,32.16484	31.04605,34.85161			31.76832,35.21371	31.04605,34.85161																																																			
#org78	31.42556,38.73058					31.32036,35.76397								31.04605,34.85161																										29.94611,37.39882																						
#org79											31.47463,35.02758												31.73446,35.07717																																							
#org80	31.01347,35.47124																																																													
#org81		31.3681,35.19714		30.6993,35.81612	31.22864,35.34321		31.08425,35.62268		31.04605,34.85161	33.23437,36.78174	31.76832,35.21371	31.34956,35.0934	31.04605,34.85161							31.6699,35.3547	31.58703,35.56746		30.18517,35.31659				30.68064,35.10474																																			
#org82					32.28692,35.58853	31.90141,35.55134	31.62059,35.33917		31.04605,34.85161	32.22168,35.72328	31.76832,35.21371	31.40718,35.03266	31.04605,34.85161	31.76832,35.21371							31.61039,35.7915		31.9459,35.17513	31.11607,35.2448			32.10744,35.86859						31.04605,34.85161																													
#org83	32.35548,38.55878																																																													
#org84	31.53378,35.09922																																																													
#org85	31.67572,36.6662																																																													
#org86	29.09829,32.72145																																																													
#org87	31.37603,34.64041																																																													
#org88	31.7604,34.7877	29.43805,33.04601			26.82055,30.8025	29.69769,33.04359			29.97405,33.64788												32.93711,35.36698		29.1222,33.21804	31.52868,35.09798						31.55155,35.08586										29.43805,33.04601																						
#org89																																																														
#org90																																																														
#org91					32.92803,35.90939	31.80705,35.11376	32.36246,35.19122																																																							
#org92	26.82055,30.8025																			26.82055,30.8025																																										
#org93					32.05556,35.28953	32.30615,32.29876	31.41805,35.49843										32.02207,35.45389			33.7787,37.83862					32.09981,35.28052										35.42294,28.52646																											
#org94	30.13704,33.73021				26.82055,30.8025									26.82055,30.8025			26.82055,30.8025				26.82055,30.8025																																									
#org95					31.04605,34.85161	32.10011,31.10104		29.26297,33.00247		31.04605,34.85161		31.47463,35.02758	31.85541,41.14006							31.76832,35.21371					31.04605,34.85161																																					
#org96								31.70538,35.20244																																																						
#org97								26.82055,30.8025																																																						
#org98																													36.86401,31.27667																																	
#org99																													36.22957,42.23624																																	
#org100		31.3681,35.19714		31.77152,35.79783		31.57179,34.16528	32.14364,35.20136		31.04605,34.85161	31.54655,35.01764	30.17345,37.76292	33.44864,38.9327	31.80182,35.44513	31.6468,35.60016	32.42791,53.68805		33.95419,33.96977			32.23405,36.33703	31.16263,36.47469	31.76832,35.21371	31.621,34.33135	32.53181,36.68327			32.55686,35.95268			31.04605,34.85161	36.09917,43.3275				31.70663,34.91662			32.82443,35.588		36.85154,29.29899			33.51381,36.27653																			
#org101		26.82055,30.8025	31.04605,34.85161	30.81561,35.54501	28.9333,32.82706	31.45358,35.15669	31.08425,35.62268		31.04605,34.85161	31.04605,34.85161	31.67042,35.19731		32.35079,38.66336		32.42791,53.68805		32.41367,35.49272			30.91865,34.34312	32.19248,36.90279	31.94318,35.22828	31.04605,34.85161		31.04605,34.85161		32.0956,35.25822			32.02726,38.29132	31.04605,34.85161		31.04605,34.85161		33.18667,35.61917																											
#org102		29.43805,33.04601			31.04605,34.85161							31.90322,35.20354					33.18667,35.61917				32.16943,37.52649		31.40718,35.03266				32.67546,35.60606														36.68848,28.47949																					
#org103		29.4587,33.36401			31.04605,34.85161	30.12683,34.29551	31.56945,35.16038		29.84442,33.40693	28.9333,32.82706	30.51445,34.04264	32.1705,35.92165	32.47749,35.41644	26.82055,30.8025			32.05556,35.28953			32.36539,37.29381	32.22702,34.20609		33.27049,35.20376	31.24423,41.13534	29.97405,33.64788											32.00035,35.22816				34.77473,30.76571																						
#org104											31.47463,35.02758	31.47463,35.02758					33.18667,35.61917				31.40718,35.03266														31.83577,35.20862					31.04605,34.85161																						
#org105																																																														
#org106																	33.87738,34.2009																																													
#org107																	30.58516,36.23841																																													
#org108											20.28023,38.51257						31.97557,35.15425			33.56339,32.10622			33.91181,26.62589				31.97557,35.15425																																			
#org109									31.89618,35.14035																																																					
#org110																																								35.61292,32.62629																						
#org111																																																														
#org112																					33.51381,36.27653																			35.33073,37.60462																						
#org113												34.26102,39.31511									32.15672,39.83013			32.54178,44.43164																35.33073,37.60462																						
#org114													32.38849,48.79132								29.65478,50.80403		29.65478,50.80403																	35.33073,37.60462																						
#org115																																								23.92183,30.67751																						
#org116																																																														
#org117														31.76832,35.21371							31.04605,34.85161																																									
#org118																										31.57253,35.08962									35.42294,28.52646					36.29446,31.65895																						
#org119																																	9.145,40.48967							31.76832,35.21371																						
#org120																																								37.24519,33.6217																						
#org121																																								41.60864,21.74528																						
#org122			31.04605,34.85161		31.04605,34.85161	30.81561,35.54501	31.57367,35.07764		31.58724,35.06186	31.8935,35.14598	32.66269,35.29333	31.76832,35.21371			32.31185,50.97116					31.57253,35.08962	32.05873,36.48715	32.15747,35.31626	30.7054,34.12175	33.18667,35.61917									9.145,40.48967		31.76832,35.21371																											
#org123																																								37.94842,27.36806																						
#org124																																								35.9375,14.37542																						
#org125																																																														
#org126				30.68064,35.10474	26.82055,30.8025				31.04605,34.85161	30.68064,35.10474	28.7506,32.95362						31.66358,38.25003				27.18201,36.61858		30.86335,34.97818					31.314,35.07966								30.68064,35.10474																										
#org127		28.57941,35.76646																																																												
#org128																																																														
#org129																																																														
#org130		26.82055,30.8025		26.82055,30.8025										33.18667,35.61917			26.82055,30.8025																		31.76832,35.21371																											
#org131			26.82055,30.8025		31.04605,34.85161		31.9354,35.14981		32.0557,35.28954	31.76832,35.21371	33.36166,31.08194		32.11636,35.23539	32.47749,35.41644			32.47917,35.42389		31.76832,35.21371		32.54178,44.43164		33.27049,35.20376																																							
#org132			31.04605,34.85161	29.5,34.0		31.53257,35.09983																																																								
#org133												33.16859,38.31286			32.42791,53.68805		32.15672,39.83013			32.54178,44.43164	33.58039,36.00678		26.82055,30.8025				32.92576,35.96269				28.91731,32.64407				32.15672,39.83013																											
#org134																																			31.76832,35.21371																											
#org135												32.97548,36.45419								31.32192,36.3272			33.3557,37.33603		29.43805,33.04601					33.57261,39.08956																																
#org136																																																														
#org137									31.30865,35.03964	31.5047,34.97076													34.55313,18.04801										32.05556,35.28953																													
#org138																																																														
#org139									31.04605,34.85161																																																					
#org140							34.49403,36.30614		31.68869,34.93685																																																					
#org141									31.41247,34.85077																																																					
#org142									31.58947,34.9026																																																					
#org143					31.04605,34.85161		31.04605,34.85161		31.04605,34.85161		31.04605,34.85161	32.66015,35.60119	31.84672,35.69043	32.69967,37.15231					31.76832,35.21371	33.57261,39.08956	31.35792,35.03615		32.03931,36.74743	31.04605,34.85161	31.99555,35.19683		31.9416,35.22273																																			
#org144					28.9333,32.82706	31.04605,34.85161	32.21611,35.26611		31.83934,35.17522	31.86188,35.15491	31.44247,36.27822	32.11432,36.28625								26.23016,38.68413	32.07111,38.28296		26.82055,30.8025																																							
#org145									31.40718,35.03266	31.43744,35.17354																																																				
#org146									31.76832,35.21371	31.48181,35.3161	31.47463,35.02758																																																			
#org147									30.82554,34.56621	31.60038,35.31273	31.90322,35.20354																																																			
#org148																																																														
#org149									31.4737,35.13511																																																					
#org150																							31.04605,34.85161																																							
#org151											31.90322,35.20354	32.46078,37.39066								31.6584,36.86948	32.05076,36.19781	31.83744,35.21608			31.90322,35.20354																																					
#org152									26.82055,30.8025																																																					
#org153									26.82055,30.8025																																																					
#org154																																																														
#org155																																																														
#org156										32.83199,37.36766	32.92406,36.92421	32.08325,36.07475											32.92406,36.92421				34.15794,37.63667																																			
#org157										31.5047,34.97076																																																				
#org158										31.40718,35.03266																																																				
#org159										31.40718,35.03266																																																				
#org160										31.69972,34.84694																																																				
#org161													33.18667,35.61917							24.82332,37.67217							26.82055,30.8025																																			
#org162										31.71994,35.28864																																																				
#org163					32.28692,35.58853					31.69972,34.84694																																																				
#org164																																																														
#org165																																																														
#org166																				17.98278,35.64609			31.76832,35.21371			31.90322,35.20354																																				
#org167																																																														
#org168																																																														
#org169																																																														
#org170																																																				35.24012,24.80927										
#org171												32.07111,38.28296	31.85605,37.51368	32.07111,38.28296	32.07111,38.28296		31.32503,35.04242			29.36824,36.333	31.29523,37.05002		31.97287,36.91629	31.90322,35.20354		31.83577,35.20862		31.17615,34.98036																																		
#org172							31.83577,35.20862					32.24454,35.31237		32.01861,37.57766						31.83577,35.20862	31.28246,35.71016	31.76999,35.22116	33.13756,32.97873			31.57253,35.08962																																				
#org173																				32.48085,38.38185	31.78538,38.16566		31.78538,38.16566																																							
#org174					26.82055,30.8025							28.9333,32.82706					26.82055,30.8025			28.33261,31.0267	32.06653,30.91137		27.53171,35.54178																																							
#org175													32.06643,38.91521										33.41378,35.28836	32.54178,44.43164																																						
#org176																							33.27049,35.20376																																							
#org177																																																														
#org178																							32.57157,27.06146																																							
#org179						32.31878,35.33447	33.9464,35.90863				33.85472,35.86228	31.40718,35.03266	33.61192,35.86611							34.0551,26.71048			31.73446,35.07717																																							
#org180																							31.04605,34.85161																																							
#org181												32.23804,35.33628	32.00035,35.22816	31.97606,35.22201													33.18667,35.61917																																			
#org182																																									36.47442,23.67399																					
#org183			32.11636,35.23539		31.04605,34.85161	29.1222,33.21804	32.05563,35.28953								32.42791,53.68805			31.04605,34.85161			32.11636,35.23539																																									
#org184																																																														
#org185																																										29.10943,30.72241	39.70083,26.26803																			
#org186																																																														
#org187																																																						41.87194,12.56738								
#org188																																											41.60864,21.74528																			
#org189												34.80649,39.80201																															33.51381,36.27653																			
#org190				32.55908,34.77113	31.77152,35.79783	28.75578,35.1816	30.79644,35.16463													29.53928,37.76726	32.23997,36.85081																																									
#org191						31.69291,35.18663																																																								
#org192						31.16411,35.51726						31.86111,35.46176		31.86111,35.46176																																																
#org193				31.38482,35.08264		32.06145,29.71268	32.05556,35.28953							31.04605,34.85161			32.49179,35.59946																																													
#org194						31.45358,35.15669																																																								
#org195						31.47463,35.02758															32.54178,44.43164																																									
#org196						31.53045,35.18476																																																								
#org197						31.2039,35.07011																																																								
#org198						31.84745,35.18335																																																								
#org199						31.86111,35.46176																																																								
#org200						31.46705,35.1057																																																								
#org201						31.57432,34.94427																																																								
#org202						31.93705,35.29906																																																								
#org203						30.0887,33.40636																																																								
#org204						30.0887,33.40636																																																								
#org205						30.0887,33.40636																																																								
#org206						30.0887,33.40636																																																								
#org207						30.0887,33.40636																																																								
#org208					31.35468,34.30883	30.0887,33.40636																																																								
#org209						34.49403,36.30614																																																								
#org210						32.02718,35.5432						32.21346,39.82403									31.88514,35.21642																																									
#org211				32.05556,35.28953		31.53257,35.09983																																																								
#org212						31.9416,35.22273																																																								
#org213						34.55313,18.04801																																																								
#org214																																																														
#org215						31.97504,35.19437																																																								
#org216						32.81192,35.51565	31.04605,34.85161																																																							
#org217						32.13744,35.57894																																																								
#org218						30.02757,33.64007	32.21611,35.26611																																																							
#org219																																						32.82443,35.588																								
#org220																																																														
#org221																					32.15505,39.82268			31.04605,34.85161																																						
#org222																								32.54178,44.43164																																						
#org223												32.54178,44.43164												32.54178,44.43164																																						
#org224																								32.47749,35.41644																																						
#org225													32.32153,39.93112	36.09917,43.3275										35.75106,37.75618																																						
#org226																					31.79441,43.61828			32.42791,53.68805																																						
#org227																								35.75106,37.75618																																						
#org228																																																														
#org229																									31.04605,34.85161																																					
#org230																					31.88514,35.21642				31.87109,35.15289																																					
#org231												33.93374,39.27061								32.42118,35.95092	34.32047,43.87957				32.776,37.16804																																					
#org232							31.53257,35.09983																																																							
#org233				30.34189,35.82221			31.08023,34.94519																																																							
#org234							31.49323,35.33953																																																							
#org235							32.22228,35.24123																																																							
#org236							30.38415,35.68476																																																							
#org237																																																														
#org238							31.04605,34.85161																																																							
#org239							31.55008,35.63162														32.3876,35.35696																																									
#org240																																																														
#org241							32.21611,35.26611																																																							
#org242				32.05556,35.28953			31.7404,35.72942					32.42288,35.30272															32.10744,35.86859																																			
#org243																																																														
#org244							29.63813,35.05813																																																							
#org245							31.04605,34.85161																																																							
#org246							31.04605,34.85161																																																							
#org247																																																														
#org248							32.05563,35.28953																																																							
#org249							31.92276,35.22722																																																							
#org250																																																														
#org251														31.76832,35.21371																																																
#org252													32.00035,35.22816																																																	
#org253														31.76832,35.21371																																																
#org254													33.61192,35.86611	31.83577,35.20862																																																
#org255																																																														
#org256																																																														
#org257													31.04605,34.85161																																																	
#org258													32.54494,35.41135																																																	
#org259													32.54494,35.41135																																																	
#org260													32.54494,35.41135																																																	
#org261																																																														
#org262													31.95686,40.43755		24.58957,47.47733																																															
#org263													32.80729,44.65361																																																	
#org264																																																														
#org265																					29.84466,31.25091																																									
#org266																					31.04605,34.85161																																									
#org267																																																														
#org268																					31.2412,35.04473																																									
#org269																					32.54178,44.43164																																									
#org270																																																														
#org271																					33.07471,38.56533																																									
#org272																					31.76832,35.21371																																									
#org273												32.54178,44.43164									32.15505,39.82268																																									
#org274																					32.15505,39.82268																																									
#org275																					34.32357,36.51326																																									
#org276																																														41.60864,21.74528																
#org277																																																														
#org278																																																														
#org279																											31.49383,35.03717																																			
#org280					26.82055,30.8025																						26.82055,30.8025																																			
#org281																																																														
#org282																																																														
#org283											31.04605,34.85161																																																			
#org284											33.18667,35.61917																																																			
#org285																																																														
#org286											27.69998,33.28448																																																			
#org287																																																														
#org288																																																														
#org289											31.04605,34.85161	32.42288,35.30272																																																		
#org290											31.04605,34.85161																																																			
#org291											31.04605,34.85161	31.74575,35.12268																																																		
#org292																																																														
#org293																																																38.05064,26.63108														
#org294												29.76182,37.01081			32.31185,50.97116					32.1705,35.92165																																										
#org295																																																														
#org296																																																														
#org297																																																														
#org298												30.55758,37.61289																																																		
#org299												30.58516,36.23841																																																		
#org300																																																														
#org301												32.58378,36.35066			32.31185,50.97116																																															
#org302												31.90322,35.20354																																																		
#org303												31.04605,34.85161																																																		
#org304												31.04605,34.85161																																																		
#org305												32.80477,35.46094																																																		
#org306												32.07111,38.28296																																																		
#org307															24.58957,47.47733																																															
#org308															32.31185,50.97116																																															
#org309															32.19579,48.25428																																															
#org310																																																														
#org311																																																														
#org312																																																														
#org313																																																														
#org314																																																														
#org315																																																														
#org316																																																														
#org317																																																														
#org318																																																														
#org319																																																														
#org320				32.34977,35.85361	32.34977,35.85361																																																									
#org321				26.82055,30.8025																																																										
#org322				28.57941,35.76646																																																										
#org323																																																														
#org324																																																														
#org325																																																														
#org326				33.01667,35.56694																																																										
#org327																																																														
#org328																																																														
#org329																																																														
#org330																																																														
#org331																																																														
#org332																																																														
#org333																																																														
